Monat;Auslastung_%;ADR_EUR;RevPAR_EUR;Zimmer_verkauft;Zimmerumsatz_EUR;OTA_Anteil_%
2024-01;52;122;63.4;1612;196664;42
2024-02;55;124;68.2;1595;197780;41
2024-03;62;130;80.6;1922;249860;40
2024-04;70;138;96.6;2100;289800;39
2024-05;80;150;120.0;2480;372000;37
2024-06;85;158;134.3;2550;402900;36
2024-07;90;162;145.8;2790;451980;35
2024-08;92;165;151.8;2852;470580;34
2024-09;82;156;127.9;2460;383760;36
2024-10;70;140;98.0;2170;303800;39
2024-11;58;126;73.1;1740;219240;41
2024-12;64;138;88.3;1984;273792;38
Jahr_2024;72;142;102.2;26255;3812156;38
